id,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_identity_verified,neighbourhood,room_type,accommodates,bedrooms,beds,amenities,minimum_nights,maximum_nights,has_availability,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
7861319,41434829,Sara,8/14/15,within a day,100%,53%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,East Palo Alto,Private room,2,1,1,"[""Smoke alarm"", ""Dedicated workspace"", ""Hot water"", ""Free parking on premises"", ""TV"", ""Kitchen"", ""Wifi"", ""Heating"", ""Iron"", ""Fire extinguisher"", ""Shampoo"", ""Free street parking"", ""Essentials"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Host greets you"", ""First aid kit"", ""Hangers""]",2,14,t,170,129,95,t,1.97
7885920,32937578,Mario,5/8/15,within an hour,100%,98%,t,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,Menlo Park,Entire home/apt,5,3,4,"[""Smoke alarm"", ""Indoor fireplace"", ""Dryer"", ""Free parking on premises"", ""TV"", ""Kitchen"", ""Wifi"", ""Heating"", ""Fire extinguisher"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""First aid kit""]",1,1125,t,358,2,80,f,0.03
7898654,36278765,John,6/20/15,within an hour,100%,100%,t,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'government_id']",t,San Mateo,Entire home/apt,16,6,7,"[""Game console"", ""Refrigerator"", ""Hot water"", ""High chair"", ""Bathtub"", ""Dishes and silverware"", ""Patio or balcony"", ""Bed linens"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Hangers"", ""Pack \u2019n Play/travel crib"", ""Smoke alarm"", ""Air conditioning"", ""Changing table"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Coffee maker"", ""Wifi"", ""Iron"", ""Free street parking"", ""BBQ grill"", ""Crib"", ""First aid kit"", ""Microwave"", ""Dishwasher"", ""Keypad"", ""Dryer"", ""Children\u2019s books and toys"", ""TV"", ""Private entrance"", ""Baby bath"", ""Garden or backyard"", ""Single level home"", ""Dedicated workspace"", ""Cooking basics"", ""Free parking on premises"", ""Baby monitor"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Baby safety gates"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Children\u2019s dinnerware"", ""Stove""]",2,1125,t,363,124,98,t,1.93
7903621,41659421,Nancy,8/16/15,within an hour,100%,100%,f,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,Menlo Park,Entire home/apt,2,1,1,"[""Iron"", ""Dishes and silverware"", ""Shampoo"", ""Fire extinguisher"", ""Patio or balcony"", ""Essentials"", ""Freezer"", ""Microwave"", ""Smoke alarm"", ""First aid kit"", ""Carbon monoxide alarm"", ""Garden or backyard"", ""Dedicated workspace"", ""Baking sheet"", ""Hair dryer"", ""Building staff"", ""Hot water"", ""Bed linens"", ""TV"", ""Heating"", ""Hangers"", ""Wifi"", ""Free parking on premises"", ""Oven"", ""Private entrance"", ""Shower gel"", ""Coffee maker"", ""Refrigerator"", ""Long term stays allowed"", ""Mini fridge"", ""Cooking basics"", ""Extra pillows and blankets""]",2,1125,t,333,218,95,t,3.35
7952495,1130179,Karina,9/8/11,within an hour,100%,93%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,Foster City,Private room,2,1,1,"[""Refrigerator"", ""Hot water"", ""Dishes and silverware"", ""Patio or balcony"", ""Barbecue utensils"", ""Oven"", ""Bed linens"", ""Hair dryer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Smart lock"", ""Coffee maker"", ""Wifi"", ""Lock on bedroom door"", ""Iron"", ""Free street parking"", ""BBQ grill"", ""First aid kit"", ""Microwave"", ""Breakfast"", ""Dishwasher"", ""Dryer"", ""TV"", ""Cable TV"", ""Bread maker"", ""Pool"", ""Garden or backyard"", ""Single level home"", ""Dedicated workspace"", ""Cooking basics"", ""Indoor fireplace"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Baking sheet"", ""Hot tub"", ""Stove""]",1,1125,t,277,23,100,f,0.35
7971599,42064635,Steven,8/20/15,within a day,80%,0%,f,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",t,Atherton,Entire home/apt,10,5,7,"[""Air conditioning"", ""Hangers"", ""Wifi"", ""Dryer"", ""Kitchen"", ""Washer"", ""Indoor fireplace"", ""Smoke alarm"", ""Breakfast"", ""First aid kit"", ""Hair dryer"", ""Essentials"", ""Dedicated workspace"", ""Heating"", ""Iron"", ""Pool"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Cable TV"", ""Hot tub"", ""TV"", ""Shampoo"", ""Free parking on premises""]",2,30,t,0,31,95,f,0.48
7987285,13975913,Ash & Dasha,4/6/14,N/A,N/A,N/A,f,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",t,Redwood City,Private room,2,1,1,"[""Shampoo"", ""Essentials"", ""Heating"", ""Air conditioning"", ""TV"", ""Washer"", ""Smoke alarm"", ""First aid kit"", ""Wifi"", ""Free parking on premises"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Dryer""]",2,15,t,365,30,97,f,0.46
8001563,1130179,Karina,9/8/11,within an hour,100%,93%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,Foster City,Private room,2,1,1,"[""Extra pillows and blankets"", ""Long term stays allowed"", ""Single level home"", ""Keypad"", ""Washer"", ""Smoke alarm"", ""First aid kit"", ""Free street parking"", ""Dishes and silverware"", ""Heating"", ""Hot water"", ""Cable TV"", ""Hair dryer"", ""Garden or backyard"", ""Dishwasher"", ""Shower gel"", ""Patio or balcony"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Stove"", ""Baking sheet"", ""Dedicated workspace"", ""Indoor fireplace"", ""Iron"", ""Oven"", ""Refrigerator"", ""Barbecue utensils"", ""Free parking on premises"", ""Breakfast"", ""BBQ grill"", ""Carbon monoxide alarm"", ""Pool"", ""Microwave"", ""Bed linens"", ""Shampoo"", ""Essentials"", ""Kitchen"", ""Coffee maker"", ""Hot tub"", ""TV"", ""Wifi"", ""Bread maker"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Dryer"", ""Hangers""]",1,1125,t,359,31,97,f,0.48
8045903,8395679,Alicia,8/25/13,within a day,100%,N/A,f,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,San Carlos,Entire home/apt,8,4,5,"[""Cooking basics"", ""TV"", ""Hot water"", ""Hangers"", ""Wifi"", ""Dryer"", ""Refrigerator"", ""Kitchen"", ""Patio or balcony"", ""Oven"", ""Indoor fireplace"", ""Washer"", ""Microwave"", ""Smoke alarm"", ""First aid kit"", ""Dishes and silverware"", ""Hair dryer"", ""Dishwasher"", ""Dedicated workspace"", ""Coffee maker"", ""Heating"", ""Iron"", ""Fire extinguisher"", ""Bathtub"", ""Bed linens"", ""Room-darkening shades"", ""Stove"", ""Long term stays allowed"", ""Free street parking"", ""Garden or backyard"", ""Carbon monoxide alarm"", ""Cable TV"", ""Extra pillows and blankets"", ""Essentials"", ""Shampoo"", ""BBQ grill"", ""Free parking on premises""]",14,1125,t,294,3,100,f,0.07
8087695,42709602,Amanda & Richard,8/27/15,within an hour,100%,100%,t,"['email', 'phone', 'reviews', 'kba']",t,Menlo Park,Entire home/apt,4,2,2,"[""Refrigerator"", ""Free parking on premises"", ""Heating"", ""Hangers"", ""Hair dryer"", ""TV"", ""Dedicated workspace"", ""Crib"", ""Baby bath"", ""Stove"", ""Fire extinguisher"", ""Dishes and silverware"", ""Air conditioning"", ""Essentials"", ""Pack \u2019n Play/travel crib"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Dryer"", ""Iron"", ""Shampoo"", ""Babysitter recommendations"", ""Bed linens"", ""Kitchen"", ""Washer"", ""Private entrance"", ""Microwave"", ""First aid kit"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Extra pillows and blankets"", ""Wifi"", ""High chair"", ""Long term stays allowed"", ""Hot water"", ""Keypad"", ""Coffee maker"", ""Oven"", ""Cable TV""]",5,180,t,354,63,99,f,1.12
8092234,40880000,Margaret,8/8/15,N/A,N/A,96%,t,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",f,Unincorporated Areas,Entire home/apt,6,2,3,"[""Refrigerator"", ""Hot water"", ""Lockbox"", ""Dishes and silverware"", ""Patio or balcony"", ""Bed linens"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Changing table"", ""Coffee maker"", ""Wifi"", ""Iron"", ""Free street parking"", ""BBQ grill"", ""First aid kit"", ""Microwave"", ""Breakfast"", ""Dryer"", ""TV"", ""Private entrance"", ""Cable TV"", ""Garden or backyard"", ""Single level home"", ""Dedicated workspace"", ""Cooking basics"", ""Beachfront"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Baby safety gates"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Stove""]",3,29,t,0,256,99,f,4.05
8108016,36804444,Eric,6/26/15,within an hour,100%,100%,t,"['email', 'phone', 'reviews', 'kba']",f,San Carlos,Private room,4,1,2,"[""Refrigerator"", ""Hot water"", ""Dishes and silverware"", ""Patio or balcony"", ""Oven"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Iron"", ""Free street parking"", ""First aid kit"", ""Microwave"", ""Dishwasher"", ""Breakfast"", ""Keypad"", ""TV"", ""Garden or backyard"", ""Dedicated workspace"", ""Cooking basics"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Hot water kettle"", ""Essentials"", ""Carbon monoxide alarm"", ""Stove""]",1,1125,t,232,154,99,f,2.39
8117276,42862789,Ed,8/29/15,within a day,100%,100%,f,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id']",t,Millbrae,Private room,1,1,1,"[""Fire extinguisher"", ""Kitchen"", ""Carbon monoxide alarm"", ""Heating"", ""Smoke alarm"", ""Wifi"", ""Free parking on premises"", ""Shampoo"", ""Essentials""]",2,1125,t,365,13,100,t,0.2
8134465,7748625,Harish & Sumi,7/26/13,N/A,N/A,N/A,f,"['email', 'phone', 'reviews', 'offline_government_id', 'kba', 'government_id']",t,Redwood City,Private room,2,1,1,"[""Long term stays allowed"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Heating"", ""Private entrance"", ""Host greets you"", ""Lake access"", ""Smoke alarm"", ""Wifi"", ""First aid kit"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Hangers""]",6,1125,t,90,42,97,f,0.66
8268197,43596585,Ab,9/7/15,within an hour,100%,100%,t,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,Unincorporated Areas,Entire home/apt,6,2,4,"[""Refrigerator"", ""Hot water"", ""Dishes and silverware"", ""Patio or balcony"", ""Bed linens"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Coffee maker"", ""Wifi"", ""Iron"", ""Free street parking"", ""BBQ grill"", ""Microwave"", ""Waterfront"", ""Dishwasher"", ""Keypad"", ""Dryer"", ""TV"", ""Cable TV"", ""Dedicated workspace"", ""Cooking basics"", ""Indoor fireplace"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Stove""]",2,30,t,316,133,98,t,2.06
8271759,104142505,Carl,11/17/16,N/A,N/A,N/A,f,"['email', 'phone', 'reviews', 'kba']",f,Menlo Park,Entire home/apt,4,2,2,"[""Oven"", ""Dryer"", ""Hot water"", ""Stove"", ""Hair dryer"", ""Kitchen"", ""Microwave"", ""Long term stays allowed"", ""Shampoo"", ""Iron"", ""Washer"", ""Dishes and silverware"", ""Garden or backyard"", ""Free street parking"", ""Coffee maker"", ""TV"", ""Wifi"", ""Air conditioning"", ""Fire extinguisher"", ""Cooking basics"", ""Heating"", ""Carbon monoxide alarm"", ""Lockbox"", ""Refrigerator"", ""Luggage dropoff allowed"", ""First aid kit"", ""Hangers"", ""Dishwasher"", ""Dedicated workspace"", ""Smoke alarm"", ""Free parking on premises"", ""Patio or balcony"", ""Essentials""]",60,1125,t,358,112,99,f,1.75
8275385,43636785,Justin,9/7/15,within an hour,90%,71%,t,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,Menlo Park,Entire home/apt,1,,1,"[""Refrigerator"", ""Hot water"", ""Lockbox"", ""Dishes and silverware"", ""Oven"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Coffee maker"", ""Wifi"", ""Iron"", ""Free street parking"", ""Garden or backyard"", ""Dedicated workspace"", ""Cooking basics"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Stove""]",3,1125,t,355,89,98,f,1.38
8276702,22387022,James,10/11/14,within an hour,93%,100%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,Daly City,Private room,2,1,1,"[""Dishes and silverware"", ""Shampoo"", ""Fire extinguisher"", ""Essentials"", ""Microwave"", ""Free street parking"", ""Smoke alarm"", ""Smart lock"", ""First aid kit"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Garden or backyard"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Hot water"", ""Bed linens"", ""Heating"", ""Hangers"", ""Wifi"", ""Oven"", ""Private entrance"", ""Coffee maker"", ""Refrigerator"", ""Kitchen"", ""Cooking basics"", ""Extra pillows and blankets""]",1,1125,t,0,368,87,t,5.72
8277236,22387022,James,10/11/14,within an hour,93%,100%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,Daly City,Private room,2,1,1,"[""Heating"", ""Dedicated workspace"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Hangers"", ""Kitchen"", ""Wifi"", ""Shampoo"", ""Fire extinguisher"", ""First aid kit"", ""Smart lock"", ""Essentials"", ""Lock on bedroom door""]",1,1125,t,30,409,90,t,6.9
8277350,22387022,James,10/11/14,within an hour,93%,100%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,Daly City,Private room,2,1,1,"[""Refrigerator"", ""Dishes and silverware"", ""Oven"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Smart lock"", ""Coffee maker"", ""Wifi"", ""Lock on bedroom door"", ""First aid kit"", ""Microwave"", ""TV"", ""Garden or backyard"", ""Dedicated workspace"", ""Cooking basics"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Stove""]",1,1125,t,28,488,88,t,8.13
8277406,22387022,James,10/11/14,within an hour,93%,100%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,Daly City,Private room,2,1,1,"[""Refrigerator"", ""Hot water"", ""Dishes and silverware"", ""Bed linens"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Smart lock"", ""Coffee maker"", ""Wifi"", ""Lock on bedroom door"", ""Free street parking"", ""First aid kit"", ""Microwave"", ""TV"", ""Private entrance"", ""Cable TV"", ""Garden or backyard"", ""Dedicated workspace"", ""Cooking basics"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Stove""]",1,1125,t,25,298,88,t,4.66
8277445,22387022,James,10/11/14,within an hour,93%,100%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,Daly City,Private room,2,1,1,"[""Dishes and silverware"", ""Shampoo"", ""Fire extinguisher"", ""Essentials"", ""Microwave"", ""Free street parking"", ""Smoke alarm"", ""First aid kit"", ""Carbon monoxide alarm"", ""Smart lock"", ""Lock on bedroom door"", ""Garden or backyard"", ""Dedicated workspace"", ""Hair dryer"", ""Stove"", ""Hot water"", ""Bed linens"", ""Heating"", ""Hangers"", ""Wifi"", ""Oven"", ""Private entrance"", ""Coffee maker"", ""Refrigerator"", ""Kitchen"", ""Cooking basics"", ""Extra pillows and blankets""]",1,180,t,0,461,87,t,7.15
8327746,4582677,Felix,1/4/13,within an hour,85%,83%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,Daly City,Entire home/apt,9,3,5,"[""Private entrance"", ""Long term stays allowed"", ""Hot water"", ""Bathtub"", ""Washer"", ""Wifi"", ""Dryer"", ""Shampoo"", ""Hair dryer"", ""Essentials"", ""Kitchen"", ""Luggage dropoff allowed"", ""Cleaning before checkout"", ""Lockbox"", ""Free street parking"", ""Carbon monoxide alarm"", ""Heating"", ""Dedicated workspace"", ""Dishwasher"", ""Iron"", ""Stove"", ""Crib"", ""Extra pillows and blankets"", ""Oven"", ""Pack \u2019n Play/travel crib"", ""Refrigerator"", ""Cable TV"", ""Fire extinguisher"", ""Pocket wifi"", ""TV"", ""Hangers"", ""First aid kit"", ""Smoke alarm"", ""Microwave"", ""Coffee maker"", ""Cooking basics"", ""Dishes and silverware"", ""Babysitter recommendations"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Patio or balcony"", ""Indoor fireplace"", ""Bed linens""]",1,1125,t,117,329,92,f,5.13
8329550,43910439,Ricky,9/11/15,within an hour,100%,100%,t,"['phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,Daly City,Private room,2,1,1,"[""Refrigerator"", ""Hot water"", ""Bathtub"", ""Dishes and silverware"", ""Bed linens"", ""Oven"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Iron"", ""Free street parking"", ""Room-darkening shades"", ""Host greets you"", ""First aid kit"", ""Microwave"", ""Breakfast"", ""Dryer"", ""Cooking basics"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Stove""]",1,10,t,365,86,97,t,2.9
8372773,5684325,Pam,3/29/13,a few days or more,0%,0%,f,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,Unincorporated Areas,Entire home/apt,5,4,4,"[""Oven"", ""Dryer"", ""Hot water"", ""Stove"", ""Hair dryer"", ""Kitchen"", ""Microwave"", ""Long term stays allowed"", ""Shampoo"", ""Single level home"", ""Iron"", ""Washer"", ""Dishes and silverware"", ""Garden or backyard"", ""Free street parking"", ""Coffee maker"", ""TV"", ""Wifi"", ""Cable TV"", ""Fire extinguisher"", ""Cooking basics"", ""Extra pillows and blankets"", ""Heating"", ""Carbon monoxide alarm"", ""Bed linens"", ""Refrigerator"", ""First aid kit"", ""Hangers"", ""BBQ grill"", ""Dishwasher"", ""Dedicated workspace"", ""Smoke alarm"", ""Free parking on premises"", ""Patio or balcony"", ""Essentials""]",2,1125,t,179,2,80,f,0.04
8384125,44181009,George,9/14/15,within an hour,100%,96%,f,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,South San Francisco,Private room,2,1,1,"[""Refrigerator"", ""Hot water"", ""Dishes and silverware"", ""Patio or balcony"", ""Barbecue utensils"", ""Bed linens"", ""Hair dryer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Laundromat nearby"", ""Iron"", ""Lock on bedroom door"", ""Free street parking"", ""BBQ grill"", ""Microwave"", ""Keypad"", ""Dryer"", ""TV"", ""Private entrance"", ""Cable TV"", ""Garden or backyard"", ""Dedicated workspace"", ""Cooking basics"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm""]",2,1125,t,88,90,89,f,1.39
8385301,11951485,Zubin,2/4/14,N/A,N/A,0%,f,"['email', 'phone', 'reviews', 'kba']",t,East Palo Alto,Entire home/apt,4,2,2,"[""Iron"", ""Shampoo"", ""Dryer"", ""Essentials"", ""Gym"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Hair dryer"", ""Hot tub"", ""Hot water"", ""Air conditioning"", ""TV"", ""Bed linens"", ""Heating"", ""Pool"", ""Wifi"", ""Hangers"", ""Kitchen"", ""Washer"", ""Host greets you"", ""Extra pillows and blankets""]",30,1125,t,362,6,100,f,0.11
8392355,35735457,David,6/13/15,a few days or more,0%,N/A,f,"['email', 'phone', 'facebook']",f,Daly City,Entire home/apt,4,2,1,"[""Indoor fireplace"", ""Hot tub"", ""Shampoo"", ""Kitchen"", ""Smoke alarm"", ""TV"", ""First aid kit"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Washer"", ""Heating"", ""Wifi"", ""Essentials"", ""Free parking on premises"", ""Dryer""]",30,45,t,177,1,,t,0.02
8392556,44219706,Jennifer,9/14/15,within an hour,100%,98%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,Unincorporated Areas,Entire home/apt,10,4,9,"[""Long term stays allowed"", ""Beach essentials"", ""High chair"", ""Beachfront"", ""Washer"", ""Smoke alarm"", ""First aid kit"", ""Free street parking"", ""Bathtub"", ""Dishes and silverware"", ""Heating"", ""Hot water"", ""Lockbox"", ""Hair dryer"", ""Garden or backyard"", ""Dishwasher"", ""Patio or balcony"", ""Cooking basics"", ""Stove"", ""Dedicated workspace"", ""Indoor fireplace"", ""Iron"", ""Oven"", ""Refrigerator"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Microwave"", ""Kitchen"", ""Coffee maker"", ""Essentials"", ""Shampoo"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Pack \u2019n Play/travel crib"", ""Dryer"", ""Hangers""]",2,1125,t,114,33,100,f,2.37
8447287,1025039,Angela,8/26/11,within an hour,100%,91%,t,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id']",t,San Mateo,Entire home/apt,2,1,5,"[""Extra pillows and blankets"", ""Long term stays allowed"", ""EV charger"", ""Air conditioning"", ""First aid kit"", ""Smoke alarm"", ""Free street parking"", ""Dishes and silverware"", ""Heating"", ""Hot water"", ""Private entrance"", ""Hair dryer"", ""Garden or backyard"", ""Luggage dropoff allowed"", ""Shower gel"", ""Patio or balcony"", ""Cooking basics"", ""Stove"", ""Dedicated workspace"", ""Iron"", ""Refrigerator"", ""Oven"", ""Free parking on premises"", ""BBQ grill"", ""Carbon monoxide alarm"", ""Kitchen"", ""Coffee maker"", ""Essentials"", ""Shampoo"", ""Bed linens"", ""Wifi"", ""Fire extinguisher"", ""Single level home"", ""Hangers""]",3,1125,t,89,32,99,f,0.5
8473437,4582677,Felix,1/4/13,within an hour,85%,83%,f,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,Daly City,Entire home/apt,15,4,7,"[""Dryer"", ""Hot water"", ""Pack \u2019n Play/travel crib"", ""Kitchen"", ""Hair dryer"", ""Long term stays allowed"", ""Shampoo"", ""Indoor fireplace"", ""Iron"", ""Washer"", ""Free street parking"", ""TV"", ""Wifi"", ""Cable TV"", ""Fire extinguisher"", ""Heating"", ""Carbon monoxide alarm"", ""Lockbox"", ""Luggage dropoff allowed"", ""First aid kit"", ""Hangers"", ""Dedicated workspace"", ""Smoke alarm"", ""Free parking on premises"", ""Essentials""]",1,1125,t,353,34,84,f,0.54
8501746,24367599,Steve,12/1/14,within an hour,100%,98%,t,"['email', 'phone', 'reviews', 'kba']",t,San Bruno,Private room,2,1,1,"[""Heating"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Free parking on premises"", ""Lockbox"", ""Carbon monoxide alarm"", ""Private entrance"", ""Hair dryer"", ""Portable fans"", ""Refrigerator"", ""TV"", ""Wifi"", ""Microwave"", ""Shampoo"", ""Fire extinguisher"", ""Hangers"", ""Essentials"", ""Lock on bedroom door""]",1,30,t,23,585,98,f,9.14
8537490,34525227,Alexander,5/29/15,N/A,N/A,100%,t,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",t,Menlo Park,Private room,2,1,1,"[""Hot water"", ""Dishes and silverware"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Coffee maker"", ""Wifi"", ""Iron"", ""First aid kit"", ""Dryer"", ""TV"", ""Cable TV"", ""Indoor fireplace"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer""]",1,1125,t,365,79,96,t,1.24
8555238,45033270,Sean,9/24/15,within a few hours,100%,89%,t,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,San Carlos,Entire home/apt,3,1,1,"[""Refrigerator"", ""Hot water"", ""Lockbox"", ""Bathtub"", ""Dishes and silverware"", ""Patio or balcony"", ""Bed linens"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Hangers"", ""Pack \u2019n Play/travel crib"", ""Smoke alarm"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Iron"", ""Free street parking"", ""First aid kit"", ""Microwave"", ""Waterfront"", ""Dishwasher"", ""Dryer"", ""TV"", ""Private entrance"", ""Cable TV"", ""Garden or backyard"", ""Single level home"", ""Dedicated workspace"", ""Cooking basics"", ""Indoor fireplace"", ""Free parking on premises"", ""Kitchen"", ""Heating"", ""Fire extinguisher"", ""Shampoo"", ""Essentials"", ""Carbon monoxide alarm"", ""Washer"", ""Stove""]",3,90,t,304,94,99,f,1.77
8558632,42862789,Ed,8/29/15,within a day,100%,100%,f,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id']",t,Millbrae,Private room,1,1,1,"[""Shampoo"", ""Kitchen"", ""Hot water"", ""Smoke alarm"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Washer"", ""Hangers"", ""Heating"", ""Essentials"", ""Lock on bedroom door"", ""Wifi"", ""Dryer""]",10,1125,t,0,7,100,t,0.11
8566680,45084301,Kate,9/25/15,N/A,N/A,100%,t,"['email', 'phone', 'reviews']",f,San Mateo,Private room,1,1,1,"[""Air conditioning"", ""Washer"", ""Free street parking"", ""Dishes and silverware"", ""Heating"", ""Cable TV"", ""Hair dryer"", ""Dedicated workspace"", ""Indoor fireplace"", ""Iron"", ""Refrigerator"", ""Free parking on premises"", ""Breakfast"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Coffee maker"", ""TV"", ""Wifi"", ""Dryer"", ""Hangers""]",1,1125,t,88,249,100,t,4.07
8613628,15007608,Ce,5/2/14,N/A,N/A,N/A,f,"['email', 'phone', 'reviews', 'jumio', 'government_id', 'work_email']",t,East Palo Alto,Entire home/apt,6,3,3,"[""Washer"", ""Heating"", ""Dedicated workspace"", ""Dryer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Smart lock"", ""Hair dryer"", ""Kitchen"", ""Keypad"", ""TV"", ""Wifi"", ""Cable TV"", ""Shampoo"", ""Fire extinguisher"", ""First aid kit"", ""Hangers"", ""Essentials"", ""Iron""]",3,1125,t,89,62,91,f,1
